TCONST	TITLETYPE	PRIMARYTITLE	ORIGINALTITLE	ISADULT	STARTYEAR	ENDYEAR	RUNTIMEMINUTES	GENRES	AVERAGERATING	NUMVOTES	TITLETYPE_NEW	SHOW_ID	TYPE	TITLE	DIRECTOR	CAST	COUNTRY	DATE_ADDED	RELEASE_YEAR	RATING	DURATION	LISTED_IN	DESCRIPTION
tt0401729	movie	John Carter	John Carter	0	2012		132	Action,Adventure,Sci-Fi	6.6	249262	Movie	70143369	Movie	John Carter	Andrew Stanton	Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Bryan Cranston, Polly Walker, Daryl Sabara, Art Malik, Eileen Page, Amanda Clayton, Davood Ghadami, Daniel O'Meara, Jill Baker, Josh Daugherty, Oliver Boot, Philip Arditti, Arkie Reece, Joe Billingiere, Don Stark, Darwin Shaw, Figs Jackman, David Schwimmer, Emma Clifford, Christopher Goodman, Cate Fowler, Sean Carrigan, Dusty Sorg, Steven Cree, Phil Cheadle, Holly Weston, Nicholas Woodeson, Rupert Frazer, Edmund Kente	United States	May 2, 2019	2012	PG-13	133 min	Action & Adventure, Sci-Fi & Fantasy	One minute, Civil War veteran John Carter is evading Apaches; the next, he's waking up on Mars, a once-fruitful planet that's devolved into chaos.
tt0217680	movie	Nang Nak	Nang Nak	0	1999		100	Horror,Romance,War	6.5	1557	Movie	70026431	Movie	Nang Nak	Nonzee Nimibutr	Inthira Charoenpura, Winai Kraibutr	Thailand	January 5, 2019	1999	TV-14	101 min	Horror Movies, International Movies, Romantic Movies	In this adaptation of a Thai folk tale, a man returns from war to his family, unaware of a sad secret about what happened to them while he was away.
tt0368891	movie	National Treasure	National Treasure	0	2004		131	Action,Adventure,Mystery	6.8	295438	Movie	70011206	Movie	National Treasure	Jon Turteltaub	Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer	United States	June 1, 2018	2004	PG	131 min	Action & Adventure, Children & Family Movies	Modern treasure hunters search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin.
tt0152139	movie	Ram Teri Ganga Maili	Ram Teri Ganga Maili	0	1985		178	Drama,Musical,Romance	6.7	878	Movie	60003097	Movie	Ram Teri Ganga Maili	Raj Kapoor	Mandakini, Rajiv Kapoor, Divya Rana, Saeed Jaffrey, Kulbhushan Kharbanda, Raza Murad, Sushma Seth, Trilok Kapoor	India	December 31, 2019	1985	TV-14	178 min	Classic Movies, Dramas, International Movies	Abandoned by her new husband and father of her son, a mountain woman journeys to Calcutta to find him, constantly tested by social evils along the way.
tt0091042	movie	Ferris Bueller's Day Off	Ferris Bueller's Day Off	0	1986		103	Comedy	7.8	305600	Movie	498716	Movie	Ferris Bueller's Day Off	John Hughes	Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close	United States	January 3, 2020	1986	PG-13	103 min	Classic Movies, Comedies, Cult Movies	Ferris convinces his entire school he's at death's door, then hits the streets of Chicago with his girlfriend and best friend for a day of fun.
tt0237395	movie	Lal Patthar	Lal Patthar	0	1971		148	Drama	6.4	106	Movie	80158481	Movie	Lal Patthar	Sushil Majumdar	Raaj Kumar, Hema Malini, Rakhee Gulzar, Vinod Mehra, Asit Kumar Sen, Paintal, Dulari, Chandramohan, Sujata Bakshi, Meena T.	India	July 1, 2017	1971	TV-PG	153 min	Classic Movies, Dramas, International Movies	A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman.
tt0079470	movie	Monty Python's Life of Brian	Life of Brian	0	1979		94	Comedy	8.1	352821	Movie	699257	Movie	Monty Python's Life of Brian	Terry Jones	Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland	United Kingdom	October 2, 2018	1979	R	94 min	Classic Movies, Comedies, Cult Movies	Born in a stable in Judea, Brian grows up to join a group of anti-Roman zealots, but his fate keeps getting confused with that of a certain carpenter.
tt0119081	movie	Event Horizon	Event Horizon	0	1997		96	Horror,Sci-Fi,Thriller	6.7	151197	Movie	1179574	Movie	Event Horizon	Paul W.S. Anderson	Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson, Richard T. Jones, Jack Noseworthy, Jason Isaacs, Sean Pertwee	United Kingdom, United States	January 1, 2020	1997	R	96 min	Horror Movies, Sci-Fi & Fantasy	After a signal is received from a long-missing spaceship, a rescue ship investigates, but the crew soon realizes something unimaginable has happened.
tt0335438	movie	Starsky & Hutch	Starsky & Hutch	0	2004		101	Comedy,Crime	6.1	135339	Movie	60033320	Movie	Starsky & Hutch	Todd Phillips	Ben Stiller, Owen Wilson, Vince Vaughn, Juliette Lewis, Snoop Dogg, Fred Williamson, Jason Bateman, Amy Smart, Carmen Electra, George Cheung	United States	July 1, 2019	2004	PG-13	101 min	Action & Adventure, Comedies	New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.
tt0355295	movie	The Brothers Grimm	The Brothers Grimm	0	2005		118	Action,Adventure,Comedy	5.9	113697	Movie	70021661	Movie	The Brothers Grimm	Terry Gilliam	Matt Damon, Heath Ledger, Monica Bellucci, Lena Headey, Peter Stormare, Jonathan Pryce, Roger Ashton-Griffiths, Richard Ridings, Mackenzie Crook, Julian Bleach, Tomás Hanák, Laura Greenwood	United States, Czech Republic, United Kingdom	July 1, 2019	2005	PG-13	119 min	Action & Adventure, Sci-Fi & Fantasy	Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they're expert con artists.
tt0337971	movie	Deewangee	Deewangee	0	2002		169	Crime,Drama,Mystery	6.6	2388	Movie	81213891	Movie	Deewangee	Anees Bazmee	Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Farida Jalal, Vijayendra Ghatge	India	January 3, 2020	2002	TV-MA	156 min	International Movies, Thrillers	Hired by a singer to defend her friend, who has been accused of murder, a formidable lawyer learns that the man he represents may not be innocent.
tt0073104	movie	Hera Pheri	Hera Pheri	0	1976		164	Action,Comedy,Crime	6.8	900	Movie	20765027	Movie	Hera Pheri	Prakash Mehra	Amitabh Bachchan, Vinod Khanna, Saira Banu, Sulakshana Pandit, Shreeram Lagoo, Pinchoo Kapoor, P. Jairaj, Yunus Parvez	India	December 31, 2019	1976	TV-14	156 min	Action & Adventure, Comedies, Dramas	The bond between two crooks and best friends is threatened when one learns that the other's father had a hand in his own tragic past.
tt0090633	movie	An American Tail	An American Tail	0	1986		80	Adventure,Animation,Comedy	6.9	47107	Movie	60010082	Movie	An American Tail	Don Bluth	Erica Yohn, Nehemiah Persoff, Amy Green, Phillip Glasser, Christopher Plummer, John Finnegan, Will Ryan, Hal Smith, Dom DeLuise, Madeline Kahn	United States	April 1, 2018	1986	G	80 min	Children & Family Movies	Fievel, a young Russian mouse, immigrates to America and must make his own way in the strange and sometimes perilous new world.
tt0115319	tvSeries	Power Rangers Zeo	Power Rangers Zeo	0	1996	1997	21	Action,Adventure,Family	6.5	2073	TV Show	70213072	TV Show	Power Rangers Zeo		Catherine Sutherland, Nakia Burrise, Steve Cardenas, Johnny Yong Bosch, Jason David Frank, David Yost, Austin St. John, Paul Schrier, Jason Narvy, Namihei Koshige, Danny Wayne, Akira Madden, David Stenstrom, Tadahiro Nakamura, Kerrigan Mahan	United States, France, Japan	January 1, 2016	1996	TV-Y7-FV	1 Season	Kids' TV	This "Mighty Morphin Power Rangers" spinoff finds Tommy and the gang battling new enemies, using abilities acquired from the Zeo Crystal.
tt0065126	movie	True Grit	True Grit	0	1969		128	Adventure,Drama,Western	7.4	40848	Movie	1067876	Movie	True Grit	Henry Hathaway	John Wayne, Glen Campbell, Kim Darby, Jeremy Slate, Robert Duvall, Dennis Hopper, Alfred Ryder, Strother Martin, Jeff Corey	United States	January 1, 2020	1969	G	128 min	Classic Movies, Dramas	Teenage tomboy Mattie Ross enlists the help of crusty lawman Rooster Cogburn to track down the hired hand who murdered her father.
tt0051658	movie	Gigi	Gigi	0	1958		115	Comedy,Musical,Romance	6.7	18761	Movie	542137	Movie	Gigi	Vincente Minnelli, Charles Walters	Leslie Caron, Maurice Chevalier, Louis Jourdan, Hermione Gingold, Eva Gabor, Jacques Bergerac, Isabel Jeans, John Abbott, Edwin Jerome, Corinne Marchand	United States	November 1, 2019	1958	G	115 min	Classic Movies, Comedies, Music & Musicals	Gigi's an avant-garde French waif being groomed as the fille de joie of affluent and handsome Gaston. Soon Gigi metamorphoses into a stunning beauty.
tt0367089	movie	The Squid and the Whale	The Squid and the Whale	0	2005		81	Comedy,Drama	7.3	74280	Movie	70020750	Movie	The Squid and the Whale	Noah Baumbach	Jeff Daniels, Laura Linney, Jesse Eisenberg, Owen Kline, William Baldwin, Halley Feiffer, Anna Paquin, Ken Leung, David Benger, Adam Rose	United States	October 1, 2019	2005	R	81 min	Comedies, Dramas, Independent Movies	This insightful drama looks at the crumbling marriage between a self-centered novelist – whose career is waning – and his up-and-coming writer wife.
tt0499556	movie	War	War	0	2007		103	Action,Thriller	6.2	83282	Movie	70061480	Movie	War	Philip G. Atwell	Jet Li, Jason Statham, John Lone, Devon Aoki, Luis Guzmán, Saul Rubinek, Sung Kang, Mathew St. Patrick, Nadine Velazquez, Andrea Roth, Mark Cheng, Kane Kosugi, Ryo Ishibashi, Steph Song	United States, Canada	April 1, 2019	2007	R	103 min	Action & Adventure	When his partner is killed and all clues point to a notorious assassin, FBI agent Jack Crawford sets out for revenge in this taut action-thriller.
tt0349825	movie	Miracle	Miracle	0	2004		135	Biography,Drama,History	7.5	45873	Movie	60033300	Movie	Miracle	Gavin O'Connor	Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann, Kenneth Welsh, Eddie Cahill, Patrick O'Brien Demsey, Michael Mantenuto, Nathan West, Kenneth Mitchell, Sam Skoryna, Billy Schneider, Michael Kopsa, Beverley Breuer, Lisa Marie Caruk, Ryan Walter, Nate Miller, Joseph Cure, Scott Johnson, Eric Peter-Kaiser, Bobby Hanson	Canada, United States	June 1, 2018	2004	PG	136 min	Children & Family Movies, Dramas, Sports Movies	U.S. hockey coach Herb Brooks unites a motley crew of college athletes and turns them into a force to be reckoned with at the 1980 Winter Olympics.
tt0249462	movie	Billy Elliot	Billy Elliot	0	2000		110	Drama,Music	7.7	121550	Movie	60003378	Movie	Billy Elliot	Stephen Daldry	Jamie Bell, Gary Lewis, Stuart Wells, Billy Fane, Colin MacLachlan, Nicola Blackwell, Carol McGuigan, Joe Renton, Janine Birkett, Charlie Hardwick, Mike Elliot, Jean Heywood, Jamie Draven, Julie Walters, Trevor Fox, Adam Cooper	United Kingdom, France	February 1, 2019	2000	R	110 min	Dramas, Independent Movies, International Movies	When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.
tt0085896	movie	Mandi	Mandi	0	1983		167	Comedy,Drama	7.6	627	Movie	81217437	Movie	Mandi	Shyam Benegal	Shabana Azmi, Smita Patil, Naseeruddin Shah, Amrish Puri, Kulbhushan Kharbanda, Saeed Jaffrey, Om Puri, Sreela Mazumdar, Neena Gupta	India	January 1, 2020	1983	TV-MA	155 min	Dramas, Independent Movies, International Movies	Forbidden love, fraying loyalties and flagrant hypocrisy emerge when sanctimonious politicians drive a madam’s brothel from the heart of Hyderabad.
tt0051459	movie	Cat on a Hot Tin Roof	Cat on a Hot Tin Roof	0	1958		108	Drama	8.0	42914	Movie	70046968	Movie	Cat on a Hot Tin Roof	Richard Brooks	Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor	United States	November 1, 2019	1958	NR	108 min	Classic Movies, Dramas	Members of a Southern clan scramble to curry favor with a dying, wealthy patriarch in this adaptation of Tennessee Williams's sizzling stage drama.
tt0369735	movie	Monster-in-Law	Monster-in-Law	0	2005		101	Comedy,Romance	5.5	54686	Movie	70021634	Movie	Monster-in-Law	Robert Luketic	Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes, Adam Scott, Monet Mazur, Annie Parisse, Will Arnett, Elaine Stritch, Stephen Dunham	United States, Germany	January 1, 2020	2005	PG-13	101 min	Comedies, Romantic Movies	An office temp thinks she's found Mr. Right when she starts dating a handsome surgeon. But there's a problem standing in the way of everlasting bliss.
tt0069810	movie	Bobby	Bobby	0	1973		168	Comedy,Musical,Romance	7.1	1586	Movie	70005055	Movie	Bobby	Raj Kapoor	Rishi Kapoor, Dimple Kapadia, Pran, Prem Nath, Sonia Sahni, Durga Khote, Aruna Irani, Prem Chopra, Farida Jalal	India	December 31, 2019	1973	TV-14	168 min	Classic Movies, Dramas, International Movies	Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose.
tt0433400	movie	Just Friends	Just Friends	0	2005		96	Comedy,Romance	6.2	102196	Movie	70039185	Movie	Just Friends	Roger Kumble	Anna Faris, Ty Olsson, Julie Hagerty, Amy Smart, Chris Marquette, Fred Ewanuick, Amy Matysio, Chris Klein, Ryan Reynolds, Stephen Root	Germany, United States, Canada	September 1, 2019	2005	PG-13	94 min	Comedies, Romantic Movies	Years after high school, a once-portly nice guy comes home for the holidays and reunites with a former crush he still has feelings for.
tt0435705	movie	Next	Next	0	2007		96	Action,Sci-Fi,Thriller	6.2	144679	Movie	70066433	Movie	Next	Lee Tamahori	Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann, Tory Kittles, José Zúñiga, Jim Beaver, Jason Butler Harner, Michael Trucco, Enzo Cilenti	United States	July 1, 2019	2007	PG-13	96 min	Action & Adventure, Sci-Fi & Fantasy	Las Vegas magician Cris can see a few minutes into the future and an FBI agent wants his help thwarting a nuclear attack.
tt0410097	movie	Hustle & Flow	Hustle & Flow	0	2005		116	Crime,Drama,Music	7.3	37811	Movie	70023451	Movie	Hustle & Flow	Craig Brewer	Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, DJ Qualls, Ludacris, Paula Jai Parker, Elise Neal, Isaac Hayes	United States	December 1, 2019	2005	R	117 min	Dramas, Independent Movies, Music & Musicals	A pimp with aspirations of grandeur wants to make it as a rapper but discovers that fame isn't all it's cracked up to be in this indie drama.
tt0083791	movie	The Dark Crystal	The Dark Crystal	0	1982		93	Adventure,Family,Fantasy	7.2	59849	Movie	419733	Movie	The Dark Crystal	Frank Oz, Jim Henson	Jim Henson, Kathryn Mullen, Frank Oz, Dave Goelz, Stephen Garlick, Lisa Maxwell, Billie Whitelaw, Percy Edwards, Joseph O'Conor	United States, United Kingdom	May 1, 2019	1982	PG	93 min	Children & Family Movies	In this mythical tale, Jen, the last of the Gelfling race, is charged with healing the Crystal of Truth after its mutilation sets off an era of terror.
tt0314786	movie	The In-Laws	The In-Laws	0	2003		98	Action,Comedy,Thriller	5.7	15930	Movie	60027701	Movie	The In-Laws	Andrew Fleming	Michael Douglas, Albert Brooks, Robin Tunney, Ryan Reynolds, David Suchet, Lindsay Sloane, Russell Andrews, Maria Ricossa, Candice Bergen	United States, Germany, Canada	July 1, 2019	2003	PG-13	98 min	Action & Adventure, Comedies	Daredevil secret agent and father of the groom Steve gives conservative podiatrist and father of the bride Jerry prenuptial jitters when they meet.
tt0090589	tvMovie	Adam: His Song Continues	Adam: His Song Continues	0	1986		100	Crime,Drama	7.2	157	Movie	70206816	Movie	Adam: His Song Continues	Robert Markowitz	Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina	United States	October 1, 2011	1986	NR	96 min	Dramas	After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children.
tt0086299	tvMovie	The Bund	Shang Hai tan xu ji	0	1983		103	Adventure,Drama	6.6	65	Movie	80997866	Movie	The Bund		Chow Yun Fat	Hong Kong	September 20, 2018	1983	TV-14	103 min	Action & Adventure, Dramas, International Movies	After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate.
tt0480572	movie	Pyaar Ke Side Effects	Pyaar Ke Side Effects	0	2006		132	Comedy,Drama,Romance	6.7	2902	Movie	70056686	Movie	Pyaar Ke Side Effects	Saket Chaudhary	Rahul Bose, Mallika Sherawat, Ranvir Shorey, Sharat Saxena, Aamir Bashir, Taraana Raja, Jas Arora, Suchitra Pillai, Sapna Bhavnani, Sophiya Chaudhary	India	February 15, 2019	2006	TV-14	120 min	Comedies, International Movies, Romantic Movies	A commitment-phobe agrees to marry his girlfriend, setting in motion a series of hilarious mishaps that has him questioning what he got himself into.
tt0071206	movie	Benji	Benji	0	1974		86	Adventure,Family,Romance	6.1	4238	Movie	296682	Movie	Benji	Joe Camp	Benji, Deborah Walley, Peter Breck, Edgar Buchanan, Terry Carter, Christopher Connelly	United States	March 6, 2018	1974	G	86 min	Children & Family Movies, Classic Movies	After lovable abandoned mutt Benji is adopted by a kind family, he chases cats, flirts with a show dog and bravely helps to rescue two abducted kids.
tt0100507	movie	Rocky V	Rocky V	0	1990		104	Drama,Sport	5.3	122401	Movie	60025674	Movie	Rocky V	John G. Avildsen	Sylvester Stallone, Talia Shire, Burt Young, Richard Gant, Tommy Morrison, Sage Stallone, Burgess Meredith, Tony Burton	United States	August 1, 2019	1990	PG-13	104 min	Dramas, Sports Movies	Inspired by the memory of his trainer, a broke and seemingly careerless Rocky finds glory in training and takes on an up-and-coming boxer.
tt0071771	movie	The Longest Yard	The Longest Yard	0	1974		121	Comedy,Crime,Drama	7.1	16323	Movie	60004083	Movie	The Longest Yard	Robert Aldrich	Burt Reynolds, Eddie Albert, Ed Lauter, James Hampton, Charles Tyner, Bernadette Peters, Richard Kiel, Joe Dorsey, Joe Jackson, Harry Caesar, John Steadman, Jim Nicholson, Tony Cacciotti	United States	November 20, 2019	1974	R	121 min	Classic Movies, Comedies, Sports Movies	Washed-up professional quarterback Paul Crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards.
tt0496806	movie	Ocean's Thirteen	Ocean's Thirteen	0	2007		122	Action,Crime,Thriller	6.9	309663	Movie	70058024	Movie	Ocean's Thirteen	Steven Soderbergh	George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Don Cheadle, Bernie Mac, Ellen Barkin, Al Pacino, Casey Affleck, Scott Caan	United States	October 1, 2019	2007	PG-13	122 min	Action & Adventure, Comedies	This entry in the all-star caper franchise finds debonair con man Danny Ocean and his gang taking revenge on a double-crossing Las Vegas kingpin.
tt0319970	tvMovie	Carrie	Carrie	0	2002		132	Drama,Horror,Sci-Fi	5.5	9263	Movie	60029461	Movie	Carrie	David Carson	Angela Bettis, Patricia Clarkson, Rena Sofer, Kandyse McClure, Emilie de Ravin, Tobias Mehler, Jesse Cadotte, Meghan Black, Chelan Simmons, Katharine Isabelle	United States, Canada	December 31, 2019	2002	TV-14	132 min	Horror Movies	This remake of the classic 1976 horror flick finds misfit Carrie getting revenge on all the cool people who've bullied her over the years.
tt0161081	movie	What Lies Beneath	What Lies Beneath	0	2000		130	Drama,Fantasy,Horror	6.6	114433	Movie	60001396	Movie	What Lies Beneath	Robert Zemeckis	Harrison Ford, Michelle Pfeiffer, Diana Scarwid, Joe Morton, James Remar, Miranda Otto, Wendy Crewson, Ray Baker, Micole Mercurio, Amber Valletta, Sloane Shelton	United States	January 1, 2020	2000	PG-13	130 min	Horror Movies, Thrillers	When Claire Spencer starts hearing ghostly voices and seeing spooky images, her husband tries to reassure her by telling her it's all in her head.
tt0305357	movie	Charlie's Angels: Full Throttle	Charlie's Angels: Full Throttle	0	2003		106	Action,Adventure,Comedy	4.9	117817	Movie	60027726	Movie	Charlie's Angels: Full Throttle	McG	Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese	United States	October 1, 2019	2003	PG-13	106 min	Action & Adventure, Comedies	In this reboot of the TV classic, the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection.
tt0090202	movie	Trikal (Past, Present, Future)	Trikal (Past, Present, Future)	0	1985		137	Drama	7.2	186	Movie	60021548	Movie	Trikal (Past, Present, Future)	Shyam Benegal	Leela Naidu, Neena Gupta, Anita Kanwar, Soni Razdan, Dalip Tahil, K.K. Raina, Kunal Kapoor, Keith Stevenson, Naseeruddin Shah, Kulbhushan Kharbanda	India	December 31, 2019	1985	TV-14	134 min	Comedies, Dramas, Independent Movies	A Goan native returns to his now-derelict, palatial childhood home, recalling his family’s interpersonal drama during the end of Portuguese rule.
tt0093378	movie	La Bamba	La Bamba	0	1987		108	Biography,Drama,Music	6.9	27103	Movie	281550	Movie	La Bamba	Luis Valdez	Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña, Danielle von Zerneck, Joe Pantoliano, Rick Dees, Marshall Crenshaw, Howard Huntsberry, Brian Setzer	United States	January 1, 2020	1987	PG-13	109 min	Classic Movies, Dramas, Music & Musicals	The plane crash that killed Buddy Holly also took Ritchie Valens, whose modest upbringing and rise to fame are depicted in this exhilarating biopic.
